bucket,plays,TEAM_EPA_per_play,LG_EPA_per_play,TEAM_success_rate,LG_success_rate,EPA_gap_to_LG
DEF: Early downs,824,0.13194156604513466,0.015852340950990938,0.49029126213592233,0.4398551589670128,95.65752147757442
DEF: All plays,1053,0.08844167027998048,0.007056704110898541,0.4852801519468186,0.43983969396119865,85.69836937604329
DEF: Explosives allowed ctx,1053,0.08844167027998048,0.007056704110898541,0.4852801519468186,0.43983969396119865,85.69836937604329
OFF: Explosive rate context,1074,-0.018504273106814368,0.007056704110898541,0.4301675977653631,0.43983969396119865,27.452489531823662
OFF: All plays,1074,-0.018504273106814368,0.007056704110898541,0.4301675977653631,0.43983969396119865,27.452489531823662
OFF: 3rd & long (>=7),117,-0.31458645614347797,-0.10576587252442182,0.2905982905982906,0.31309904153354634,24.432008283429568
DEF: 3rd & short (<=4),81,0.25998124942783074,-0.012139120844018672,0.6666666666666666,0.5624275222265172,22.041749992019803
DEF: Red zone (<=20),207,0.09556714335376953,-0.0032106569639583824,0.4444444444444444,0.4228723404255319,20.44700466576968
OFF: Red zone (<=20),169,-0.09105319979395142,-0.0032106569639583824,0.38461538461538464,0.4228723404255319,14.845389738268825
OFF: Early downs,818,0.0017932616412471175,0.015852340950990938,0.42665036674816625,0.4398551589670128,11.500326875370446
OFF: Goal-to-go,63,-0.06320008531945352,0.021486081719166192,0.4126984126984127,0.4438369781312127,5.335228523433042
OFF: 3rd down,224,-0.06521616449379772,-0.05274334851395606,0.44642857142857145,0.42537862079106015,2.7939107794845315
DEF: 3rd down,201,-0.05582002522393141,-0.05274334851395606,0.46766169154228854,0.42537862079106015,-0.6184120187050453
OFF: 3rd & short (<=4),82,0.25578323977871215,-0.012139120844018672,0.6707317073170732,0.5624275222265172,-21.96963357106393
